timestamp string,wind direction,wind speed
202201010015,0.0,0.0
202201010035,0.0,0.0
202201010055,0.0,0.0
202201010115,0.0,0.0
202201010135,0.0,0.0
202201010155,0.0,0.0
202201010215,0.0,0.0
202201010235,0.0,0.0
202201010255,0.0,0.0
202201010315,0.0,0.0
202201010335,0.0,0.0
202201010355,0.0,0.0
202201010415,0.0,0.0
202201010435,0.0,0.0
202201010455,0.0,0.0
202201010515,0.0,0.0
202201010535,0.0,0.0
202201010555,0.0,0.0
202201010615,0.0,0.0
202201010635,0.0,0.0
202201010655,0.0,0.0
202201010715,0.0,0.0
202201010735,0.0,0.0
202201010755,0.0,0.0
202201010815,0.0,0.0
202201010835,0.0,0.0
202201010855,0.0,0.0
202201010915,0.0,0.0
202201010935,0.0,0.0
202201011015,0.0,0.0
202201011035,0.0,0.0
202201011055,70.0,2.1
202201011115,0.0,0.0
202201011135,0.0,0.0
202201011215,230.0,6.2
202201011235,260.0,6.7
202201011255,240.0,5.7
202201011315,240.0,5.1
202201011335,240.0,5.7
202201011355,240.0,5.7
202201011415,260.0,3.6
202201011435,250.0,5.7
202201011455,250.0,5.7
202201011515,240.0,5.7
202201011535,240.0,6.2
202201011555,250.0,4.6
202201011615,240.0,6.2
202201011635,230.0,8.2
202201011655,240.0,8.7
202201011715,230.0,8.2
202201011735,230.0,12.9
202201011755,230.0,8.2
202201011815,240.0,9.3
202201011835,230.0,10.8
202201011855,260.0,11.8
202201011915,230.0,7.2
202201011955,250.0,6.7
202201012015,240.0,8.2
202201012035,240.0,7.7
202201012055,230.0,5.7
202201012115,230.0,8.2
202201012135,250.0,5.1
202201012155,230.0,4.1
202201012215,240.0,5.1
202201012235,250.0,7.2
202201012255,230.0,7.2
202201012315,230.0,6.7
202201012335,240.0,4.6
202201012355,0.0,0.0
202201020015,260.0,5.7
202201020035,230.0,2.1
202201020055,60.0,2.1
202201020115,0.0,0.0
202201020135,230.0,4.6
202201020155,260.0,3.1
202201020215,340.0,3.1
202201020235,0.0,0.0
202201020255,90.0,2.1
202201020315,,1.5
202201020335,0.0,0.0
202201020355,280.0,3.6
202201020415,310.0,7.7
202201020435,320.0,5.1
202201020455,330.0,5.1
202201020515,240.0,2.6
202201020535,240.0,2.6
202201020555,230.0,1.5
202201020615,0.0,0.0
202201020635,0.0,0.0
202201020655,210.0,2.1
202201020715,170.0,2.1
202201020735,0.0,0.0
202201020755,200.0,2.1
202201020815,0.0,0.0
202201020835,0.0,0.0
202201020855,0.0,0.0
202201020915,0.0,0.0
202201020935,0.0,0.0
202201020955,0.0,0.0
202201021035,0.0,0.0
202201021055,300.0,2.1
202201021115,290.0,1.5
202201021135,0.0,0.0
202201021155,300.0,2.1
202201021215,0.0,0.0
202201021235,,2.1
202201021255,0.0,0.0
202201021315,0.0,0.0
202201021335,0.0,0.0
202201021355,0.0,0.0
202201021415,0.0,0.0
