timestamp string,wind direction,wind speed
202201010000,180.0,4.6
202201010005,180.0,4.6
202201010010,180.0,4.6
202201010015,190.0,4.1
202201010020,190.0,4.1
202201010025,190.0,4.6
202201010030,190.0,5.1
202201010035,190.0,5.7
202201010040,190.0,5.7
202201010045,190.0,5.7
202201010050,190.0,5.7
202201010052,200.0,5.7
202201010054,200.0,5.1
202201010055,200.0,5.1
202201010100,200.0,5.1
202201010105,200.0,5.7
202201010110,200.0,6.2
202201010115,200.0,5.7
202201010120,210.0,5.1
202201010125,210.0,5.1
202201010130,210.0,5.1
202201010135,210.0,5.1
202201010140,210.0,5.7
202201010145,210.0,5.1
202201010150,210.0,4.6
202201010154,210.0,5.1
202201010155,210.0,4.6
202201010200,220.0,4.6
202201010206,220.0,4.1
202201010210,220.0,4.6
202201010215,220.0,5.1
202201010220,220.0,5.1
202201010225,210.0,6.2
202201010228,210.0,6.2
202201010230,210.0,6.2
202201010235,210.0,5.7
202201010240,210.0,5.7
202201010245,210.0,5.7
202201010250,210.0,5.1
202201010254,210.0,5.7
202201010255,210.0,6.2
202201010300,210.0,4.6
202201010305,210.0,5.7
202201010310,210.0,5.1
202201010315,210.0,5.1
202201010320,200.0,5.7
202201010325,200.0,5.7
202201010330,190.0,6.7
202201010332,200.0,7.2
202201010335,210.0,7.7
202201010340,200.0,6.7
202201010345,210.0,6.7
202201010350,210.0,8.2
202201010354,210.0,7.2
202201010355,210.0,7.7
202201010400,220.0,8.2
202201010405,220.0,5.7
202201010410,240.0,3.6
202201010415,280.0,3.1
202201010420,270.0,3.1
202201010425,270.0,2.6
202201010435,240.0,2.1
202201010440,240.0,2.6
202201010445,260.0,2.1
202201010450,250.0,2.1
202201010454,280.0,2.6
202201010455,280.0,2.1
202201010500,230.0,3.1
202201010501,240.0,3.1
202201010505,240.0,3.1
202201010510,270.0,2.6
202201010515,240.0,3.1
202201010520,290.0,3.6
202201010523,320.0,5.1
202201010525,320.0,4.1
202201010530,320.0,2.1
202201010535,350.0,2.6
202201010540,340.0,2.1
202201010543,350.0,2.6
202201010545,330.0,3.1
202201010552,320.0,3.1
202201010554,320.0,2.6
202201010555,320.0,2.6
202201010600,320.0,1.5
202201010605,320.0,2.1
202201010610,250.0,1.5
202201010612,,1.5
202201010615,250.0,1.5
202201010620,250.0,2.1
202201010625,260.0,1.5
202201010635,240.0,2.1
202201010640,260.0,2.6
202201010650,230.0,2.6
202201010654,230.0,2.6
202201010655,230.0,2.6
202201010700,240.0,2.6
202201010705,230.0,2.6
202201010710,220.0,2.6
202201010715,200.0,2.6
202201010720,180.0,3.1
202201010725,160.0,3.1
202201010730,160.0,2.6
202201010735,170.0,2.6
202201010740,190.0,2.6
202201010745,180.0,2.6
202201010750,160.0,2.1
202201010754,160.0,2.1
202201010755,180.0,2.6
202201010800,170.0,2.1
202201010805,170.0,1.5
202201010810,180.0,1.5
202201010815,170.0,2.6
202201010820,170.0,2.6
202201010825,150.0,2.1
202201010830,180.0,1.5
202201010835,180.0,2.1
202201010839,140.0,1.5
202201010840,140.0,1.5
202201010845,140.0,1.5
202201010850,170.0,2.6
202201010854,180.0,2.1
202201010855,180.0,1.5
202201010900,130.0,2.1
202201010905,130.0,2.1
202201010907,130.0,2.6
202201010910,120.0,2.6
202201010915,0.0,0.0
202201010920,120.0,2.1
202201010922,130.0,2.1
202201010925,110.0,2.6
202201010930,120.0,2.1
202201010935,0.0,0.0
202201010936,0.0,0.0
202201010940,0.0,0.0
202201010942,0.0,0.0
202201010945,0.0,0.0
202201010950,270.0,2.1
202201010955,340.0,1.5
202201011000,340.0,1.5
202201011009,0.0,0.0
202201011010,0.0,0.0
202201011015,310.0,2.1
202201011017,310.0,2.1
202201011020,300.0,2.6
202201011025,300.0,3.6
202201011027,290.0,3.6
202201011030,270.0,4.1
202201011035,280.0,2.6
202201011040,290.0,3.1
202201011041,290.0,3.6
202201011045,300.0,3.1
202201011050,290.0,3.1
202201011054,310.0,2.6
202201011055,300.0,3.1
202201011100,290.0,3.6
202201011105,290.0,3.6
202201011110,300.0,2.6
202201011115,310.0,2.1
202201011120,320.0,2.1
202201011125,320.0,2.6
202201011130,330.0,1.5
202201011135,320.0,2.6
202201011140,280.0,2.1
202201011145,270.0,2.1
202201011150,300.0,2.1
202201011154,0.0,0.0
202201011155,0.0,0.0
202201011200,0.0,0.0
202201011205,0.0,0.0
202201011210,280.0,1.5
202201011215,290.0,1.5
202201011220,0.0,0.0
202201011225,0.0,0.0
202201011230,0.0,0.0
202201011235,0.0,0.0
202201011240,0.0,0.0
202201011245,0.0,0.0
202201011250,0.0,0.0
202201011254,0.0,0.0
202201011255,0.0,0.0
202201011300,0.0,0.0
202201011305,0.0,0.0
202201011310,240.0,1.5
202201011315,240.0,2.1
202201011320,220.0,3.1
202201011325,210.0,1.5
202201011330,0.0,0.0
202201011335,160.0,3.1
202201011340,150.0,4.1
202201011345,160.0,2.6
202201011350,180.0,2.6
202201011354,170.0,2.6
202201011355,170.0,2.6
202201011400,130.0,2.6
202201011405,140.0,3.1
202201011415,150.0,2.6
202201011420,160.0,3.1
202201011425,160.0,3.1
202201011430,170.0,3.1
202201011435,160.0,3.6
202201011440,170.0,3.1
202201011445,150.0,4.6
202201011450,180.0,3.1
202201011454,130.0,4.6
202201011455,140.0,4.1
202201011500,130.0,3.6
202201011505,140.0,3.1
202201011510,130.0,3.1
202201011515,110.0,3.1
202201011520,180.0,1.5
202201011525,140.0,2.6
202201011530,180.0,1.5
202201011535,110.0,2.6
202201011540,150.0,2.6
202201011550,140.0,2.6
202201011554,130.0,2.6
202201011555,120.0,2.1
202201011600,130.0,2.6
202201011605,130.0,2.1
202201011610,120.0,2.6
202201011615,100.0,2.6
202201011620,330.0,2.6
202201011625,,4.1
202201011629,60.0,5.1
202201011630,70.0,5.7
202201011635,90.0,3.6
202201011640,100.0,2.6
202201011645,90.0,3.1
202201011650,80.0,4.1
202201011654,70.0,5.7
202201011655,80.0,3.6
202201011658,,1.5
202201011705,20.0,4.1
202201011713,330.0,7.2
202201011715,340.0,6.2
202201011720,,5.1
202201011721,350.0,5.7
202201011725,350.0,7.7
202201011728,350.0,9.8
202201011730,340.0,10.3
202201011739,10.0,6.2
202201011740,10.0,6.7
202201011745,330.0,7.2
202201011750,350.0,6.2
202201011754,350.0,4.6
202201011755,340.0,4.6
202201011800,350.0,4.1
202201011805,10.0,5.7
202201011810,,5.7
202201011815,340.0,5.7
202201011820,10.0,4.6
202201011825,,5.1
202201011826,,4.6
202201011831,10.0,4.6
202201011835,10.0,3.6
202201011840,350.0,3.6
202201011842,350.0,3.1
202201011845,350.0,2.1
202201011850,330.0,2.1
202201011854,340.0,2.1
202201011855,340.0,2.6
202201011900,350.0,4.1
202201011905,340.0,4.6
202201011907,350.0,5.1
202201011915,340.0,4.6
202201011925,340.0,6.2
202201011928,350.0,5.1
202201011930,350.0,5.1
202201011935,350.0,5.1
202201011940,340.0,4.1
202201011945,330.0,4.6
202201011950,330.0,5.1
202201011954,340.0,6.2
202201011955,330.0,6.2
202201012000,330.0,4.6
202201012005,320.0,4.6
202201012010,330.0,6.2
202201012015,340.0,7.2
202201012020,340.0,5.1
202201012025,330.0,5.1
202201012027,320.0,5.7
202201012030,320.0,4.6
202201012035,330.0,4.1
202201012040,340.0,4.1
202201012045,340.0,4.6
202201012054,340.0,3.6
202201012055,340.0,3.6
202201012100,340.0,5.1
202201012105,350.0,3.6
202201012115,350.0,2.6
202201012120,340.0,3.1
202201012122,340.0,3.1
202201012125,350.0,2.1
202201012130,,3.1
202201012135,,3.6
202201012140,10.0,4.1
202201012145,340.0,2.6
202201012150,330.0,1.5
202201012154,340.0,2.1
202201012155,350.0,2.6
202201012200,330.0,2.6
202201012205,340.0,2.6
202201012209,340.0,2.1
202201012210,340.0,2.1
202201012215,350.0,1.5
202201012216,,1.5
202201012220,0.0,0.0
202201012225,0.0,0.0
202201012230,0.0,0.0
