timestamp string,wind direction,wind speed
202201010015,170.0,4.1
202201010035,170.0,3.1
202201010055,180.0,2.1
202201010115,190.0,2.1
202201010135,170.0,3.1
202201010215,170.0,3.6
202201010235,170.0,3.6
202201010255,180.0,3.6
202201010315,190.0,4.1
202201010335,180.0,4.6
202201010355,200.0,3.6
202201010415,200.0,3.6
202201010435,190.0,3.1
202201010455,190.0,4.6
202201010515,190.0,6.2
202201010535,180.0,6.7
202201010555,200.0,4.6
202201010615,210.0,5.7
202201010635,200.0,5.1
202201010655,220.0,6.7
202201010715,200.0,5.1
202201010735,200.0,6.7
202201010755,200.0,5.1
202201010815,210.0,4.1
202201010835,220.0,6.7
202201010855,210.0,5.7
202201010915,220.0,6.7
202201010935,220.0,7.2
202201010955,220.0,6.7
202201011015,220.0,6.2
202201011035,220.0,4.6
202201011055,220.0,5.1
202201011115,210.0,4.6
202201011135,210.0,4.6
202201011155,210.0,4.6
202201011215,210.0,4.1
202201011235,210.0,4.6
202201011255,200.0,4.6
202201011315,210.0,4.6
202201011335,200.0,5.7
202201011355,210.0,5.1
202201011415,210.0,6.7
202201011435,210.0,6.2
202201011455,200.0,6.2
202201011515,210.0,4.6
202201011535,210.0,5.1
202201011555,200.0,5.7
202201011615,210.0,6.7
202201011635,210.0,6.2
202201011655,210.0,5.7
202201011715,210.0,7.2
202201011735,220.0,9.8
202201011755,200.0,7.2
202201011815,210.0,9.3
202201011835,220.0,6.7
202201011855,220.0,6.2
202201011910,230.0,11.8
202201011935,220.0,6.2
202201011955,230.0,7.2
202201012015,220.0,9.3
202201012035,210.0,5.7
202201012055,210.0,6.2
202201012115,220.0,6.7
202201012135,210.0,4.1
202201012155,300.0,11.3
202201012215,290.0,3.6
202201012235,320.0,2.6
202201012255,,4.1
202201012315,260.0,14.4
202201012335,,4.6
202201012355,340.0,5.1
202201020015,330.0,6.2
202201020035,,5.1
202201020055,10.0,3.1
202201020115,20.0,3.1
202201020135,350.0,3.1
202201020215,10.0,2.6
202201020235,70.0,2.1
202201020255,80.0,3.1
202201020315,330.0,2.6
202201020335,100.0,2.1
202201020355,,1.5
202201020415,100.0,2.1
202201020435,130.0,1.5
202201020455,0.0,0.0
202201020515,0.0,0.0
202201020535,150.0,2.1
202201020555,130.0,2.1
202201020615,0.0,0.0
202201020635,150.0,1.5
202201020655,0.0,0.0
202201020715,0.0,0.0
202201020735,0.0,0.0
202201020755,240.0,2.1
202201020815,260.0,2.1
202201020835,260.0,2.6
202201020855,250.0,3.1
202201020915,280.0,2.6
202201020935,290.0,2.1
202201020955,0.0,0.0
202201021015,0.0,0.0
202201021035,280.0,2.6
202201021055,280.0,3.1
202201021115,270.0,4.1
202201021135,290.0,4.1
202201021155,310.0,2.6
202201021215,300.0,3.1
202201021235,290.0,3.6
202201021255,290.0,2.1
202201021315,260.0,3.1
202201021335,290.0,3.1
202201021355,280.0,3.6
202201021415,300.0,5.7
202201021435,310.0,4.1
202201021455,330.0,2.6
202201021515,,4.1
202201021535,340.0,4.6
202201021555,330.0,5.7
202201021615,,4.6
202201021655,330.0,4.6
202201021755,330.0,6.2
202201021815,340.0,4.1
202201021835,340.0,6.2
202201021855,340.0,6.2
202201021915,350.0,6.2
202201021935,,4.6
202201021955,20.0,3.1
202201022035,350.0,3.1
202201022055,20.0,4.6
202201022115,30.0,3.6
202201022135,10.0,4.6
202201022155,320.0,5.1
202201022215,350.0,6.2
202201022235,,6.2
202201022255,350.0,3.6
202201022335,350.0,5.7
202201022355,350.0,6.2
202201030015,350.0,4.6
202201030035,330.0,6.2
202201030055,350.0,4.6
202201030115,340.0,5.1
202201030135,330.0,7.2
202201030155,350.0,7.7
202201030215,340.0,5.7
202201030235,330.0,8.2
202201030255,320.0,5.7
202201030315,340.0,7.2
202201030335,330.0,5.1
202201030355,330.0,8.2
202201030415,330.0,6.2
202201030435,330.0,7.2
202201030455,320.0,6.7
202201030515,330.0,7.2
202201030535,,
202201030555,330.0,7.7
202201030615,340.0,10.3
202201030635,340.0,8.7
202201030650,,
202201030655,340.0,7.2
202201030710,,
202201030730,,
202201030750,,
202201030830,,
202201030845,,
202201030850,,
202201030935,350.0,8.7
202201030955,,
202201031015,,
202201031035,,
202201031045,,
202201031110,,
202201031115,,
202201031130,,
202201031150,,
202201031210,,
202201031250,,
202201031310,,
202201031330,,
202201031345,,
202201031350,,
202201031435,350.0,7.2
202201031455,330.0,5.7
202201031515,,
202201031535,,
202201031555,,
202201031610,,
202201031615,,
202201031630,,
202201031650,,
202201031730,,
202201031750,,
202201031810,,
202201031830,,
202201031855,,5.1
202201031915,340.0,3.6
202201031935,,
202201031955,,
202201032015,,
202201032030,,
202201032035,,
202201032050,,
202201032110,,
202201032150,,
202201032210,,
202201032225,,
202201032230,,
202201032315,70.0,2.1
202201032335,,
202201032355,,
202201040015,10.0,3.1
202201040035,,1.5
202201040055,350.0,2.1
202201040115,0.0,0.0
202201040135,0.0,0.0
202201040155,0.0,0.0
202201040215,60.0,1.5
202201040235,0.0,0.0
202201040255,0.0,0.0
202201040315,0.0,0.0
202201040335,0.0,0.0
202201040355,0.0,0.0
202201040415,0.0,0.0
202201040435,0.0,0.0
202201040455,0.0,0.0
202201040515,0.0,0.0
202201040535,0.0,0.0
202201040615,0.0,0.0
202201040635,0.0,0.0
202201040655,0.0,0.0
202201040715,0.0,0.0
202201040735,0.0,0.0
202201040755,0.0,0.0
202201040815,0.0,0.0
202201040835,0.0,0.0
202201040855,0.0,0.0
202201040915,0.0,0.0
202201040935,0.0,0.0
202201040955,0.0,0.0
202201041015,250.0,1.5
202201041055,0.0,0.0
202201041115,0.0,0.0
202201041135,0.0,0.0
202201041155,0.0,0.0
202201041235,0.0,0.0
202201041255,0.0,0.0
202201041335,0.0,0.0
202201041355,0.0,0.0
202201041415,0.0,0.0
202201041435,0.0,0.0
202201041455,170.0,2.1
202201041515,160.0,2.6
202201041535,190.0,2.1
202201041555,180.0,2.1
202201041635,180.0,3.1
202201041655,160.0,5.1
202201041715,160.0,3.6
202201041735,170.0,4.1
202201041755,170.0,5.1
202201041815,170.0,7.7
202201041835,170.0,6.7
202201041855,170.0,7.2
202201041915,170.0,6.2
202201041935,190.0,6.7
202201041955,170.0,5.7
202201042015,170.0,4.6
202201042035,170.0,5.7
202201042055,170.0,6.7
202201042115,180.0,7.2
202201042135,180.0,5.7
202201042155,180.0,6.2
202201042215,180.0,4.1
202201042235,180.0,3.1
202201042255,160.0,3.6
202201042310,160.0,4.1
202201042335,170.0,3.6
202201042355,170.0,4.6
202201050015,180.0,4.1
202201050035,170.0,4.6
202201050055,180.0,5.7
202201050135,170.0,4.1
202201050155,170.0,4.6
202201050215,180.0,5.1
202201050235,180.0,6.7
202201050255,170.0,6.2
202201050315,180.0,5.7
202201050335,170.0,5.1
202201050355,160.0,4.6
202201050415,170.0,5.1
