timestamp string,wind direction,wind speed
202201010015,170.0,4.1
202201010035,180.0,4.1
202201010055,190.0,2.6
202201010115,0.0,0.0
202201010135,,2.1
202201010155,,2.6
202201010215,200.0,2.6
202201010235,,3.1
202201010255,210.0,3.6
202201010315,,1.5
202201010335,,1.5
202201010355,,2.1
202201010415,,3.6
202201010435,0.0,0.0
202201010455,190.0,3.6
202201010515,210.0,3.6
202201010635,230.0,3.6
202201010655,,3.1
202201010715,,2.1
202201010755,,2.6
202201010815,,3.1
202201010835,0.0,0.0
202201010855,,1.5
202201010935,,2.1
202201010955,0.0,0.0
202201011015,0.0,0.0
202201011035,200.0,2.6
202201011055,,1.5
202201011115,,2.6
202201011135,190.0,2.6
202201011155,0.0,0.0
202201011215,180.0,3.6
202201011235,0.0,0.0
202201011255,,2.1
202201011315,0.0,0.0
202201011335,0.0,0.0
202201011355,0.0,0.0
202201011415,0.0,0.0
202201011435,260.0,2.1
202201011455,0.0,0.0
202201011515,0.0,0.0
202201011535,0.0,0.0
202201011555,0.0,0.0
202201011615,0.0,0.0
202201011635,270.0,2.1
202201011655,,2.1
202201011715,0.0,0.0
202201011735,0.0,0.0
202201011755,0.0,0.0
202201011815,320.0,1.5
202201011835,0.0,0.0
202201011855,0.0,0.0
202201011915,0.0,0.0
202201011935,0.0,0.0
202201011955,0.0,0.0
202201012015,160.0,1.5
202201012035,130.0,2.6
202201012055,120.0,3.1
202201012115,140.0,3.1
202201012135,0.0,0.0
202201012155,0.0,0.0
202201012215,150.0,2.1
202201012235,0.0,0.0
202201012255,0.0,0.0
202201012315,150.0,3.6
202201012335,140.0,4.1
202201012355,0.0,0.0
202201020015,130.0,1.5
202201020035,0.0,0.0
202201020055,310.0,1.5
202201020115,0.0,0.0
202201020135,0.0,0.0
202201020155,0.0,0.0
202201020215,0.0,0.0
202201020235,100.0,1.5
202201020255,0.0,0.0
202201020315,,1.5
202201020335,30.0,2.1
202201020355,40.0,2.1
202201020415,40.0,2.1
202201020455,20.0,2.6
202201020515,20.0,2.6
202201020535,,2.1
202201020555,,2.1
202201020615,,2.6
202201020635,,2.6
202201020655,30.0,2.1
202201020715,30.0,2.6
202201020735,,2.1
202201020755,40.0,4.6
202201020815,40.0,2.6
202201020835,,3.1
202201020855,,2.1
202201020915,,2.1
202201020935,,2.1
202201020955,,2.6
202201021015,,4.1
