timestamp string,wind direction,wind speed
202201010012,0.0,0.0
202201010053,0.0,0.0
202201010153,0.0,0.0
202201010253,0.0,0.0
202201010353,0.0,0.0
202201010409,0.0,0.0
202201010453,0.0,0.0
202201010521,0.0,0.0
202201010532,0.0,0.0
202201010553,0.0,0.0
202201010653,0.0,0.0
202201010741,0.0,0.0
202201010753,0.0,0.0
202201010756,0.0,0.0
202201010814,0.0,0.0
202201010826,0.0,0.0
202201010853,0.0,0.0
202201010953,,2.1
202201011053,,3.1
202201011153,210.0,3.6
202201011205,210.0,4.6
202201011253,210.0,3.6
202201011311,200.0,4.6
202201011353,,3.1
202201011453,210.0,4.1
202201011543,200.0,5.7
202201011553,210.0,3.6
202201011606,210.0,5.1
202201011616,200.0,5.1
202201011638,210.0,5.1
202201011648,220.0,3.6
202201011653,210.0,4.1
202201011753,220.0,4.6
202201011853,210.0,4.1
202201011953,200.0,6.2
202201012053,210.0,4.1
202201012153,210.0,3.6
202201012253,220.0,3.1
202201012353,210.0,4.1
202201020053,,1.5
202201020102,250.0,2.6
202201020117,,2.1
202201020124,250.0,1.5
202201020150,,2.1
202201020157,290.0,6.7
202201020203,280.0,5.1
202201020211,,2.1
202201020237,190.0,2.1
202201020249,0.0,0.0
202201020253,250.0,1.5
202201020311,,1.5
202201020321,,2.1
202201020335,0.0,0.0
202201020353,0.0,0.0
202201020453,0.0,0.0
202201020549,0.0,0.0
202201020553,140.0,1.5
202201020639,90.0,1.5
202201020646,130.0,1.5
202201020653,0.0,0.0
202201020725,0.0,0.0
202201020743,0.0,0.0
202201020752,0.0,0.0
202201020828,0.0,0.0
202201020849,330.0,1.5
202201020853,0.0,0.0
202201020930,0.0,0.0
202201020953,280.0,1.5
202201021004,0.0,0.0
202201021038,0.0,0.0
202201021105,200.0,1.5
202201021222,210.0,2.1
202201021241,210.0,2.1
202201021253,,1.5
202201021323,210.0,1.5
202201021345,200.0,2.1
202201021436,,1.5
202201021453,,1.5
202201021653,,
202201021753,,1.5
202201021853,0.0,0.0
202201021953,270.0,3.6
202201022000,290.0,3.1
202201022053,340.0,3.1
202201022101,,1.5
202201022153,,1.5
202201022253,,2.1
202201022353,50.0,1.5
202201030053,,2.6
202201030153,,2.6
202201030253,,2.1
202201030353,,2.6
202201030453,,2.6
202201030518,20.0,2.1
202201030553,,2.6
202201030619,,2.1
202201030653,,2.1
202201030723,,1.5
202201030753,,1.5
202201030808,0.0,0.0
202201030839,0.0,0.0
202201030853,,
202201030935,,2.6
202201030946,0.0,0.0
202201030953,340.0,3.6
202201031004,350.0,4.6
202201031016,330.0,3.6
202201031053,350.0,3.6
202201031153,340.0,2.6
202201031253,,1.5
202201031353,340.0,3.6
202201031453,340.0,3.1
202201031553,350.0,2.1
202201031653,340.0,1.5
202201031753,340.0,2.1
202201031853,,2.1
202201031953,,2.1
202201032053,80.0,1.5
202201032153,80.0,2.1
202201032253,80.0,2.1
202201032353,50.0,2.1
202201040053,,1.5
202201040153,,2.6
202201040253,,2.1
202201040303,,1.5
202201040353,,1.5
202201040453,50.0,1.5
202201040553,0.0,0.0
202201040653,0.0,0.0
202201040753,0.0,0.0
202201040853,90.0,1.5
202201040953,0.0,0.0
202201041053,30.0,1.5
202201041153,0.0,0.0
202201041253,0.0,0.0
202201041353,0.0,0.0
202201041453,0.0,0.0
202201041553,0.0,0.0
202201041653,,1.5
202201041753,,2.6
202201041853,190.0,2.6
202201041953,,2.6
202201042053,,2.1
202201042153,140.0,2.1
202201042253,0.0,0.0
202201050053,0.0,0.0
202201050153,0.0,0.0
202201050253,0.0,0.0
202201050353,240.0,3.1
202201050553,0.0,0.0
202201050653,,2.1
202201050753,,2.1
202201050853,,2.6
202201050953,240.0,1.5
202201051053,230.0,1.5
202201051150,250.0,1.5
202201051153,250.0,2.1
202201051253,220.0,1.5
202201051318,0.0,0.0
202201051353,,
202201051453,,2.1
202201051553,210.0,3.6
202201051653,,2.1
202201051753,,2.6
202201051953,200.0,3.6
202201052053,210.0,3.1
202201052153,,3.1
202201052253,200.0,2.6
202201052353,,1.5
202201060053,0.0,0.0
202201060153,0.0,0.0
202201060253,0.0,0.0
202201060353,0.0,0.0
202201060453,0.0,0.0
202201060553,260.0,1.5
202201060653,0.0,0.0
202201060702,0.0,0.0
202201060853,0.0,0.0
202201060953,0.0,0.0
202201061053,0.0,0.0
202201061153,,1.5
202201061253,0.0,0.0
202201061353,50.0,1.5
202201061453,80.0,1.5
202201061553,,2.1
202201061653,70.0,2.6
202201061713,30.0,1.5
202201061717,50.0,2.6
202201061730,40.0,2.6
202201061736,,2.1
202201061746,,1.5
202201061753,40.0,2.1
202201061807,0.0,0.0
202201061819,,
202201061848,,1.5
202201061853,,
202201061858,40.0,2.1
202201061925,0.0,0.0
202201061930,0.0,0.0
202201061941,0.0,0.0
202201061953,20.0,1.5
202201062013,0.0,0.0
202201062025,0.0,0.0
