timestamp string,wind direction,wind speed
202201010015,210.0,5.1
202201010035,210.0,5.1
202201010055,210.0,4.6
202201010115,200.0,3.6
202201010135,190.0,3.6
202201010155,180.0,3.1
202201010215,200.0,5.1
202201010235,190.0,6.7
202201010255,180.0,7.7
202201010315,190.0,9.8
202201010335,190.0,9.8
202201010355,200.0,7.2
202201010415,200.0,7.2
202201010455,200.0,5.7
202201010515,190.0,5.7
202201010535,190.0,6.7
202201010555,200.0,6.2
202201010615,200.0,5.1
202201010635,200.0,5.7
202201010655,210.0,6.2
202201010715,220.0,5.7
202201010735,220.0,5.1
202201010755,230.0,4.1
202201010815,240.0,4.1
202201010835,240.0,2.6
202201010855,230.0,3.1
202201010915,230.0,2.1
202201010935,210.0,3.1
202201010955,200.0,4.6
202201011015,210.0,4.1
202201011035,200.0,4.1
202201011055,210.0,5.1
202201011115,210.0,3.6
202201011135,340.0,5.1
202201011155,,5.1
202201011215,,4.1
202201011235,330.0,2.1
202201011255,350.0,2.6
202201011315,350.0,2.6
202201011335,10.0,4.6
202201011355,,2.1
202201011415,,2.6
202201011435,20.0,2.6
202201011455,20.0,2.6
202201011515,20.0,1.5
202201011535,60.0,3.1
202201011615,,3.1
202201011635,,2.6
202201011655,0.0,0.0
202201011715,40.0,1.5
202201011735,40.0,1.5
202201011815,90.0,2.6
202201011835,90.0,1.5
202201011855,120.0,2.6
202201011915,130.0,2.1
202201011935,150.0,3.1
202201011955,210.0,2.1
202201012015,220.0,1.5
202201012035,200.0,2.1
202201012055,190.0,2.6
202201012115,260.0,1.5
202201012135,310.0,2.1
202201012155,300.0,3.6
202201012215,290.0,3.1
202201012235,310.0,2.1
202201012255,330.0,6.2
202201012315,330.0,2.6
202201012335,350.0,2.1
202201012355,10.0,3.1
202201020015,10.0,3.6
202201020035,40.0,2.1
202201020055,10.0,1.5
202201020115,350.0,2.6
202201020135,320.0,5.1
202201020155,340.0,6.7
202201020215,340.0,7.2
202201020235,350.0,5.1
202201020255,,5.1
202201020315,,2.6
202201020335,350.0,3.6
202201020355,350.0,4.1
202201020415,340.0,4.1
202201020435,,4.6
202201020455,,5.7
202201020515,330.0,5.1
202201020535,330.0,4.6
202201020555,330.0,5.1
202201020615,330.0,6.2
202201020635,310.0,6.7
202201020655,300.0,7.7
202201020715,310.0,6.2
202201020735,310.0,5.7
202201020755,320.0,6.2
202201020815,310.0,7.2
202201020835,310.0,7.7
202201020855,320.0,7.2
202201020915,320.0,7.2
202201020955,320.0,7.2
202201021015,320.0,6.7
202201021035,310.0,7.2
202201021055,350.0,6.2
202201021115,330.0,6.7
202201021155,320.0,4.6
202201021215,300.0,6.7
202201021235,310.0,5.7
202201021255,310.0,5.7
202201021315,320.0,6.7
202201021335,340.0,6.2
202201021355,310.0,7.2
202201021415,310.0,6.2
202201021435,310.0,7.2
202201021455,320.0,6.2
202201021515,330.0,5.1
202201021535,340.0,5.7
202201021555,350.0,5.7
202201021615,350.0,5.7
202201021635,,6.2
202201021655,350.0,5.7
202201021715,350.0,5.7
202201021735,350.0,5.7
202201021755,350.0,5.1
202201021815,340.0,5.1
202201021835,340.0,4.6
202201021855,350.0,5.1
202201021915,,6.2
202201021935,350.0,6.2
202201021955,340.0,7.2
202201022015,320.0,7.2
202201022035,330.0,5.1
202201022055,330.0,7.2
202201022115,340.0,5.1
202201022135,350.0,6.2
202201022155,350.0,5.1
202201022215,350.0,6.7
202201022235,,5.1
202201022255,350.0,5.7
202201022315,,5.7
202201022335,,6.2
202201022355,350.0,6.7
202201030015,,5.7
202201030035,20.0,6.2
202201030055,10.0,6.2
202201030115,10.0,5.1
202201030135,330.0,7.2
202201030155,,5.7
202201030215,,4.1
202201030235,,4.6
202201030255,,4.6
202201030315,20.0,4.6
202201030335,20.0,6.7
202201030355,20.0,4.1
202201030415,,5.1
202201030435,10.0,4.6
202201030455,,5.1
202201030515,,6.7
202201030535,,5.1
202201030555,350.0,5.7
202201030615,,4.6
202201030635,350.0,4.1
202201030655,340.0,4.6
202201030715,350.0,4.6
202201030735,350.0,4.6
202201030755,340.0,5.1
202201030815,340.0,5.1
202201030835,340.0,5.1
202201030855,340.0,5.7
202201030915,340.0,5.7
202201030935,350.0,5.7
202201030955,350.0,7.2
202201031015,330.0,4.6
202201031035,340.0,6.2
202201031055,330.0,5.1
202201031115,340.0,5.7
202201031135,340.0,4.1
202201031155,340.0,4.6
202201031215,330.0,4.6
202201031235,330.0,4.6
202201031255,350.0,5.1
202201031315,340.0,4.1
202201031335,340.0,4.1
202201031355,330.0,5.1
202201031415,340.0,5.1
202201031435,320.0,5.1
202201031455,340.0,4.1
202201031515,320.0,3.1
202201031535,320.0,3.6
202201031555,350.0,3.6
202201031615,330.0,3.1
202201031655,320.0,2.1
202201031715,0.0,0.0
202201031735,0.0,0.0
202201031755,260.0,1.5
202201031815,270.0,2.1
202201031835,310.0,2.1
202201031855,0.0,0.0
202201031915,0.0,0.0
202201031935,0.0,0.0
202201032015,0.0,0.0
202201032035,220.0,2.6
202201032055,260.0,2.6
202201032115,240.0,3.1
202201032135,210.0,1.5
202201032155,240.0,2.6
202201032215,250.0,2.1
202201032235,240.0,3.1
202201032255,240.0,2.1
202201032315,230.0,1.5
202201032335,210.0,2.1
202201032355,200.0,2.1
202201040015,190.0,1.5
202201040035,210.0,1.5
202201040055,200.0,2.1
202201040135,190.0,3.1
202201040155,200.0,2.6
202201040215,200.0,2.6
202201040235,190.0,2.1
202201040255,190.0,2.6
202201040315,190.0,2.1
202201040335,190.0,2.1
202201040355,170.0,1.5
202201040415,0.0,0.0
202201040435,190.0,1.5
202201040455,180.0,2.6
202201040515,190.0,2.1
202201040535,200.0,2.1
202201040555,200.0,1.5
202201040615,0.0,0.0
202201040635,180.0,1.5
202201040655,180.0,2.1
202201040715,180.0,3.1
202201040735,180.0,3.1
202201040755,190.0,3.6
202201040815,180.0,3.1
202201040835,190.0,2.6
202201040855,170.0,2.1
202201040915,180.0,2.6
202201040935,180.0,1.5
202201040955,170.0,2.1
202201041015,180.0,2.6
202201041035,180.0,3.1
202201041055,180.0,2.6
202201041115,170.0,2.1
202201041135,170.0,2.6
202201041215,170.0,2.6
202201041235,180.0,2.1
202201041255,180.0,2.6
202201041315,190.0,4.1
202201041335,200.0,3.1
202201041355,200.0,4.1
202201041415,220.0,4.6
202201041435,210.0,6.2
202201041455,190.0,4.1
202201041515,180.0,5.1
202201041535,200.0,5.7
202201041555,190.0,5.7
202201041615,140.0,4.6
202201041635,140.0,6.2
202201041655,180.0,5.7
202201041715,160.0,4.6
202201041735,210.0,4.6
202201041755,190.0,4.6
202201041815,180.0,5.1
202201041835,180.0,3.6
202201041855,190.0,5.7
202201041915,190.0,4.6
202201041935,180.0,5.1
202201041955,200.0,5.1
202201042015,190.0,5.7
202201042035,200.0,7.2
202201042055,200.0,6.7
202201042155,170.0,4.6
202201042215,160.0,4.6
202201042235,150.0,5.1
202201042255,150.0,4.1
202201042315,150.0,4.6
202201042335,140.0,5.1
202201042355,150.0,5.7
202201050035,180.0,7.2
202201050055,190.0,6.2
202201050115,190.0,6.7
202201050135,160.0,8.7
202201050155,170.0,9.8
202201050215,170.0,10.3
202201050255,180.0,9.3
202201050315,190.0,7.7
202201050335,190.0,7.2
202201050355,190.0,6.7
202201050415,200.0,9.3
202201050435,190.0,9.8
202201050455,190.0,9.3
202201050515,190.0,9.8
202201050535,190.0,10.3
202201050555,200.0,11.3
202201050615,200.0,9.3
202201050635,200.0,8.7
202201050655,200.0,9.3
202201050715,190.0,8.2
202201050735,190.0,9.8
202201050755,190.0,9.3
202201050815,190.0,7.7
202201050835,200.0,8.2
202201050915,200.0,8.7
202201050935,200.0,7.2
202201050955,200.0,7.2
202201051015,200.0,7.2
202201051035,200.0,6.7
202201051055,210.0,7.2
202201051115,210.0,7.2
202201051135,210.0,7.2
202201051155,220.0,7.2
202201051215,220.0,6.7
202201051235,230.0,6.7
202201051255,240.0,7.2
202201051315,240.0,7.2
202201051335,250.0,7.7
202201051355,270.0,7.2
202201051415,270.0,7.7
202201051435,270.0,9.8
202201051455,270.0,6.7
202201051515,270.0,9.3
202201051535,270.0,8.2
202201051555,270.0,8.2
202201051615,260.0,9.3
202201051635,270.0,8.7
