timestamp string,wind direction,wind speed
202201010015,180.0,2.6
202201010035,160.0,2.6
202201010055,170.0,3.1
202201010115,180.0,2.6
202201010135,180.0,2.1
202201010155,170.0,2.1
202201010215,0.0,0.0
202201010235,160.0,1.5
202201010255,0.0,0.0
202201010315,0.0,0.0
202201010335,160.0,1.5
202201010355,0.0,0.0
202201010415,170.0,2.1
202201010435,170.0,2.1
202201010515,190.0,4.6
202201010535,190.0,4.1
202201010555,190.0,5.1
202201010615,190.0,4.6
202201010635,190.0,5.7
202201010655,190.0,5.7
202201010715,210.0,6.7
202201010735,200.0,6.2
202201010755,210.0,5.1
202201010815,210.0,6.2
202201010830,210.0,6.7
202201010855,200.0,6.7
202201010915,210.0,6.7
202201010935,200.0,5.7
202201010955,210.0,5.7
202201011015,210.0,5.1
202201011035,210.0,5.7
202201011055,200.0,4.6
202201011115,200.0,5.1
202201011135,200.0,5.1
202201011155,190.0,7.2
202201011215,200.0,6.2
202201011235,180.0,5.1
202201011255,190.0,4.1
202201011315,190.0,5.7
202201011335,180.0,6.2
202201011355,190.0,8.7
202201011415,200.0,7.2
202201011435,190.0,8.7
202201011455,190.0,9.8
202201011515,200.0,11.3
202201011535,200.0,10.3
202201011555,210.0,9.8
202201011615,210.0,9.3
202201011635,210.0,14.9
202201011655,200.0,9.3
202201011715,220.0,8.7
202201011735,210.0,8.2
202201011755,210.0,8.2
202201011815,320.0,8.2
202201011835,330.0,6.7
202201011855,340.0,5.7
202201011915,350.0,3.6
202201011955,,2.6
202201012015,340.0,4.1
202201012035,20.0,4.6
202201012055,20.0,5.1
202201012115,340.0,4.1
202201012135,60.0,3.1
202201012215,,2.6
202201012235,80.0,2.6
202201012255,80.0,3.1
202201012315,70.0,2.6
202201012335,,2.1
202201020015,0.0,0.0
202201020035,50.0,2.6
202201020055,100.0,2.6
202201020115,120.0,1.5
202201020135,0.0,0.0
202201020155,40.0,2.1
202201020215,150.0,2.1
202201020235,120.0,1.5
202201020255,0.0,0.0
202201020315,,1.5
202201020335,0.0,0.0
202201020355,270.0,1.5
202201020415,0.0,0.0
202201020435,200.0,2.1
202201020455,0.0,0.0
202201020515,270.0,2.1
202201020535,0.0,0.0
202201020555,270.0,2.1
202201020615,250.0,2.1
202201020635,240.0,2.6
202201020655,260.0,2.6
202201020715,260.0,3.1
202201020735,270.0,2.6
202201020755,300.0,5.1
202201020815,300.0,4.1
202201020835,320.0,4.1
202201020855,340.0,3.6
202201020915,310.0,4.6
202201020935,320.0,4.1
202201020955,310.0,3.1
202201021015,320.0,3.6
202201021035,330.0,5.1
202201021055,310.0,2.1
202201021115,320.0,3.6
202201021135,320.0,3.6
202201021155,330.0,3.1
202201021215,,2.6
202201021235,280.0,3.1
202201021255,280.0,4.1
202201021315,320.0,4.6
202201021335,340.0,5.7
202201021355,320.0,4.6
202201021415,330.0,5.1
202201021435,340.0,5.7
202201021455,330.0,5.7
202201021515,320.0,4.6
202201021535,10.0,4.6
202201021555,340.0,4.1
202201021615,340.0,4.6
202201021635,,3.6
202201021655,350.0,3.1
202201021735,290.0,3.1
202201021755,310.0,2.1
202201021815,320.0,3.1
202201021835,340.0,4.6
202201021855,,3.6
202201021915,310.0,4.1
202201021935,330.0,3.6
202201021955,350.0,4.6
202201022015,,4.6
202201022035,350.0,4.1
202201022055,,2.6
202201022115,340.0,4.1
202201022135,350.0,3.1
202201022155,340.0,4.6
202201022215,340.0,5.1
202201022235,340.0,4.1
202201022255,340.0,5.1
202201022315,320.0,4.6
202201022335,340.0,5.7
202201022355,350.0,3.1
202201030015,330.0,4.6
202201030035,330.0,4.6
202201030055,330.0,3.6
202201030115,330.0,4.6
202201030135,330.0,5.1
202201030155,350.0,4.1
202201030215,320.0,5.7
202201030235,330.0,7.2
202201030255,340.0,5.1
202201030315,340.0,8.7
202201030335,340.0,7.2
202201030355,330.0,6.2
202201030415,320.0,6.2
202201030435,340.0,8.2
202201030455,330.0,4.6
202201030515,330.0,5.7
202201030535,330.0,6.7
202201030555,330.0,5.7
202201030615,320.0,5.1
202201030635,320.0,5.7
202201030655,320.0,6.2
202201030715,330.0,6.2
202201030735,340.0,6.7
202201030755,340.0,5.1
202201030815,330.0,5.7
202201030835,320.0,6.7
202201030855,330.0,5.7
202201030915,340.0,8.2
202201030935,330.0,5.1
202201030955,320.0,5.1
202201031015,350.0,4.6
202201031035,310.0,3.6
202201031055,330.0,4.1
202201031115,320.0,4.1
202201031135,340.0,5.7
202201031215,340.0,4.1
202201031235,330.0,4.1
202201031255,340.0,3.1
202201031315,320.0,3.1
202201031335,330.0,3.6
202201031355,320.0,5.1
202201031415,320.0,3.6
202201031435,320.0,3.1
202201031455,320.0,2.6
202201031515,320.0,3.1
202201031555,330.0,3.1
202201031615,320.0,3.1
202201031635,320.0,2.6
202201031655,340.0,3.1
202201031715,320.0,3.1
202201031735,320.0,3.6
202201031755,320.0,2.6
202201031815,350.0,2.6
202201031835,340.0,2.6
202201031855,320.0,2.6
202201031915,0.0,0.0
202201031935,350.0,2.1
202201031955,0.0,0.0
202201032015,30.0,1.5
202201032035,350.0,2.6
202201032055,50.0,2.1
202201032115,40.0,1.5
202201032135,0.0,0.0
202201032155,340.0,2.1
202201032215,0.0,0.0
202201032235,0.0,0.0
202201032255,0.0,0.0
202201032315,0.0,0.0
202201032335,0.0,0.0
202201032355,0.0,0.0
202201040015,0.0,0.0
202201040035,0.0,0.0
202201040055,0.0,0.0
202201040115,0.0,0.0
202201040135,0.0,0.0
202201040155,0.0,0.0
202201040215,80.0,2.1
202201040255,0.0,0.0
202201040315,0.0,0.0
202201040335,0.0,0.0
202201040355,0.0,0.0
202201040415,0.0,0.0
202201040435,0.0,0.0
202201040455,0.0,0.0
202201040515,0.0,0.0
202201040535,0.0,0.0
202201040555,,1.5
202201040635,0.0,0.0
202201040655,90.0,2.1
202201040715,0.0,0.0
202201040735,0.0,0.0
202201040755,0.0,0.0
202201040815,,2.6
202201040835,140.0,3.1
202201040855,,2.1
202201040915,,1.5
202201040935,,2.1
202201040955,180.0,3.6
202201041015,120.0,2.1
202201041035,,1.5
202201041055,0.0,0.0
202201041115,180.0,2.6
202201041135,160.0,2.6
202201041155,180.0,2.1
202201041215,200.0,2.1
202201041235,180.0,3.1
202201041255,,1.5
202201041315,140.0,1.5
