timestamp string,wind direction,wind speed
202201010015,0.0,0.0
202201010035,190.0,1.5
202201010055,180.0,1.5
202201010115,200.0,2.1
202201010135,200.0,2.6
202201010155,190.0,3.1
202201010215,200.0,3.1
202201010235,200.0,3.6
202201010255,210.0,4.1
202201010315,200.0,2.6
202201010335,200.0,2.6
202201010355,210.0,2.6
202201010435,0.0,0.0
202201010455,200.0,3.1
202201010515,210.0,3.1
202201010535,210.0,3.6
202201010555,220.0,2.6
202201010615,210.0,3.1
202201010635,210.0,3.6
202201010655,200.0,3.1
202201010715,200.0,2.6
202201010735,190.0,2.6
202201010755,210.0,1.5
202201010815,190.0,2.1
202201010835,200.0,2.1
202201010855,190.0,2.6
202201010915,200.0,1.5
202201010935,200.0,2.6
202201010955,200.0,3.1
202201011015,210.0,4.1
202201011035,200.0,4.1
202201011055,210.0,3.6
202201011115,210.0,2.6
202201011135,210.0,2.6
202201011155,210.0,2.6
202201011215,210.0,2.6
202201011235,210.0,1.5
202201011255,200.0,2.1
202201011315,200.0,2.6
202201011335,210.0,2.6
202201011355,220.0,3.6
202201011435,220.0,3.1
202201011455,220.0,3.6
202201011515,230.0,5.1
202201011535,240.0,3.1
202201011555,240.0,3.6
202201011615,230.0,4.1
202201011635,230.0,4.1
202201011655,220.0,6.7
202201011715,220.0,6.7
202201011735,220.0,4.1
202201011755,240.0,4.6
202201011815,220.0,7.7
202201011835,230.0,5.1
202201011855,220.0,5.1
202201011915,230.0,3.6
202201011935,230.0,3.6
202201011955,220.0,4.6
202201012015,230.0,4.1
202201012035,240.0,5.7
202201012055,220.0,4.6
202201012115,210.0,4.6
202201012135,220.0,4.1
202201012155,210.0,3.6
202201012215,210.0,4.1
202201012235,200.0,2.6
202201012255,200.0,3.6
202201012315,200.0,3.6
202201012335,200.0,4.6
202201012355,210.0,4.6
202201020015,200.0,5.7
202201020035,200.0,5.7
202201020055,210.0,5.1
202201020115,210.0,4.1
202201020135,210.0,3.6
202201020155,210.0,4.6
202201020215,210.0,4.6
202201020235,210.0,5.1
202201020255,210.0,5.1
202201020315,210.0,5.7
202201020335,200.0,5.7
202201020355,210.0,6.2
202201020415,220.0,5.7
202201020435,220.0,4.6
202201020515,210.0,3.6
202201020535,210.0,4.6
202201020555,200.0,5.7
202201020615,200.0,7.2
202201020635,200.0,6.2
202201020655,210.0,6.2
202201020715,210.0,6.2
202201020735,220.0,5.1
202201020755,210.0,4.1
202201020815,220.0,3.6
202201020835,220.0,4.1
202201020855,220.0,4.6
202201020915,210.0,5.7
202201020935,220.0,4.6
202201020955,210.0,4.6
202201021015,220.0,4.6
202201021035,230.0,4.1
202201021055,230.0,4.1
202201021115,230.0,2.6
202201021135,230.0,2.6
202201021155,220.0,3.1
202201021215,210.0,3.1
202201021235,200.0,3.1
202201021255,210.0,3.1
202201021315,210.0,4.1
202201021335,200.0,4.1
202201021355,210.0,4.6
202201021415,220.0,4.6
202201021435,230.0,5.1
202201021455,230.0,3.1
202201021515,240.0,4.1
202201021535,350.0,2.6
202201021555,10.0,3.6
202201021615,20.0,2.1
202201021635,0.0,0.0
202201021655,20.0,2.1
202201021715,30.0,2.1
202201021735,0.0,0.0
202201021755,90.0,2.1
202201021815,40.0,2.1
202201021835,40.0,1.5
202201021855,40.0,2.1
202201021915,70.0,2.1
202201021935,40.0,1.5
202201021955,310.0,2.6
202201022015,90.0,1.5
202201022035,70.0,2.1
202201022055,40.0,2.1
202201022115,110.0,2.6
202201022135,0.0,0.0
202201022155,0.0,0.0
202201022215,90.0,4.6
202201022235,110.0,3.1
202201022255,340.0,3.6
202201022315,60.0,3.1
202201022335,60.0,1.5
202201022355,80.0,3.1
202201030015,80.0,3.1
202201030035,140.0,2.1
202201030055,140.0,2.6
202201030115,80.0,3.1
202201030135,90.0,3.6
202201030155,130.0,4.6
202201030215,130.0,2.6
202201030235,130.0,3.6
202201030255,130.0,4.1
202201030315,140.0,4.6
202201030355,170.0,3.1
202201030415,170.0,4.6
202201030435,170.0,5.1
202201030455,190.0,5.7
202201030515,200.0,6.7
202201030535,210.0,5.7
202201030555,210.0,10.8
202201030615,230.0,6.2
202201030635,240.0,8.7
202201030655,250.0,7.7
202201030715,260.0,8.7
202201030755,270.0,9.3
202201030815,270.0,8.7
202201030835,260.0,9.3
202201031220,280.0,8.7
202201031235,290.0,5.1
202201031315,290.0,6.7
202201031335,300.0,6.2
202201031355,290.0,6.2
202201031415,300.0,5.7
202201031435,300.0,8.2
202201031455,330.0,7.7
202201031515,300.0,6.2
202201031535,310.0,7.2
202201031555,310.0,7.7
202201031615,300.0,6.2
202201031635,300.0,7.7
202201031655,320.0,8.2
202201031715,310.0,5.7
202201031755,310.0,5.7
202201031815,310.0,5.1
202201031835,340.0,5.1
202201031855,330.0,4.1
202201031915,,3.6
202201031935,340.0,4.1
202201031955,300.0,3.6
202201032015,320.0,4.1
202201032035,300.0,4.6
202201032055,310.0,5.1
202201032115,320.0,4.6
202201032135,300.0,3.6
202201032155,330.0,3.1
202201032215,340.0,3.1
202201032235,330.0,2.6
202201032255,320.0,3.1
202201032315,330.0,2.1
202201032335,330.0,2.1
202201032355,330.0,2.1
202201040015,320.0,2.1
202201040035,330.0,2.1
202201040055,330.0,2.1
202201040115,320.0,2.1
202201040135,320.0,2.1
202201040155,320.0,2.1
202201040215,330.0,1.5
202201040235,320.0,2.1
202201040255,0.0,0.0
202201040315,0.0,0.0
202201040335,0.0,0.0
202201040355,0.0,0.0
202201040415,0.0,0.0
202201040435,0.0,0.0
202201040455,0.0,0.0
202201040515,0.0,0.0
202201040535,0.0,0.0
202201040555,0.0,0.0
202201040615,0.0,0.0
202201040635,0.0,0.0
202201040655,0.0,0.0
202201040715,0.0,0.0
202201040735,0.0,0.0
202201040755,0.0,0.0
202201040815,0.0,0.0
202201040835,0.0,0.0
202201040855,0.0,0.0
202201040915,0.0,0.0
202201040935,0.0,0.0
202201040955,0.0,0.0
202201041015,0.0,0.0
202201041030,0.0,0.0
202201041115,0.0,0.0
202201041135,0.0,0.0
202201041155,0.0,0.0
202201041215,0.0,0.0
202201041235,50.0,1.5
202201041255,50.0,1.5
202201041315,80.0,2.1
202201041335,80.0,2.6
202201041355,80.0,2.6
202201041415,90.0,3.1
202201041435,100.0,4.1
202201041515,80.0,4.1
202201041535,90.0,2.6
202201041555,60.0,2.6
202201041615,60.0,2.1
202201041635,60.0,2.1
202201041655,70.0,2.1
202201041715,100.0,3.6
