timestamp string,wind direction,wind speed
202201010000,110.0,1.5
202201010005,140.0,1.5
202201010010,0.0,0.0
202201010015,130.0,1.5
202201010020,140.0,1.5
202201010025,130.0,2.1
202201010035,0.0,0.0
202201010040,140.0,2.1
202201010045,150.0,1.5
202201010050,150.0,1.5
202201010053,,2.1
202201010055,0.0,0.0
202201010100,120.0,1.5
202201010105,0.0,0.0
202201010110,0.0,0.0
202201010115,0.0,0.0
202201010120,0.0,0.0
202201010125,0.0,0.0
202201010130,0.0,0.0
202201010133,,1.5
202201010135,170.0,1.5
202201010140,0.0,0.0
202201010145,0.0,0.0
202201010148,0.0,0.0
202201010150,0.0,0.0
202201010153,0.0,0.0
202201010155,0.0,0.0
202201010200,0.0,0.0
202201010205,0.0,0.0
202201010210,210.0,1.5
202201010215,220.0,4.1
202201010220,220.0,4.6
202201010225,200.0,3.6
202201010230,210.0,3.1
202201010231,220.0,3.6
202201010235,220.0,4.6
202201010240,220.0,2.6
202201010245,220.0,3.6
202201010250,220.0,3.6
202201010253,220.0,3.6
202201010300,220.0,3.1
202201010305,230.0,3.1
202201010310,220.0,3.6
202201010315,230.0,3.1
202201010325,220.0,3.6
202201010330,230.0,3.1
202201010335,230.0,2.6
202201010340,230.0,3.6
202201010345,220.0,3.1
202201010350,230.0,2.6
202201010353,240.0,3.1
202201010355,230.0,2.1
202201010400,240.0,2.6
202201010405,220.0,2.1
202201010410,230.0,2.1
202201010415,220.0,1.5
202201010420,220.0,2.1
202201010425,210.0,1.5
202201010430,220.0,1.5
202201010435,210.0,1.5
202201010440,210.0,2.1
202201010445,220.0,2.1
202201010450,220.0,2.6
202201010453,,2.6
202201010455,220.0,2.6
202201010500,220.0,2.6
202201010510,230.0,1.5
202201010515,220.0,2.1
202201010520,230.0,2.1
202201010525,230.0,3.1
202201010530,220.0,2.1
202201010540,220.0,3.6
202201010545,210.0,4.1
202201010550,220.0,3.1
202201010553,230.0,4.1
202201010555,230.0,4.1
202201010600,230.0,4.6
202201010605,230.0,3.6
202201010615,230.0,3.6
202201010620,230.0,5.1
202201010625,230.0,4.1
202201010630,230.0,4.1
202201010635,230.0,3.1
202201010640,240.0,3.1
202201010645,230.0,2.6
202201010650,230.0,3.1
202201010653,,2.1
202201010655,240.0,2.1
202201010700,230.0,2.6
202201010705,240.0,2.6
202201010710,230.0,2.1
202201010715,230.0,3.1
202201010720,240.0,3.1
202201010725,240.0,2.6
202201010730,240.0,3.1
202201010735,240.0,3.1
202201010740,240.0,4.6
202201010745,230.0,2.6
202201010750,240.0,4.1
202201010755,240.0,2.6
202201010800,240.0,2.6
202201010805,240.0,2.1
202201010815,230.0,3.1
202201010820,230.0,2.6
202201010825,230.0,3.1
202201010830,220.0,2.6
202201010835,230.0,2.1
202201010840,230.0,2.6
202201010845,240.0,3.6
202201010850,240.0,2.1
202201010853,220.0,1.5
202201010855,220.0,2.6
202201010900,230.0,3.1
202201010910,240.0,2.1
202201010915,240.0,3.1
202201010920,230.0,2.6
202201010925,230.0,2.1
202201010930,220.0,2.1
202201010935,230.0,2.6
202201010940,220.0,2.1
202201010945,220.0,2.6
202201010950,220.0,2.1
202201010953,210.0,2.1
202201010955,210.0,2.1
202201011000,210.0,2.6
202201011005,220.0,2.1
202201011010,210.0,1.5
202201011015,230.0,2.1
202201011020,210.0,2.1
202201011025,0.0,0.0
202201011030,210.0,1.5
202201011035,200.0,1.5
202201011040,200.0,1.5
202201011045,200.0,1.5
202201011050,220.0,2.6
202201011053,210.0,2.6
202201011055,220.0,2.1
202201011100,220.0,2.1
202201011105,220.0,1.5
202201011110,220.0,1.5
202201011115,240.0,1.5
202201011120,0.0,0.0
202201011130,0.0,0.0
202201011135,0.0,0.0
202201011140,0.0,0.0
202201011145,0.0,0.0
202201011150,0.0,0.0
202201011153,0.0,0.0
202201011155,0.0,0.0
202201011200,0.0,0.0
202201011205,0.0,0.0
202201011210,160.0,1.5
202201011215,160.0,1.5
202201011220,150.0,1.5
202201011225,0.0,0.0
202201011235,0.0,0.0
202201011240,0.0,0.0
202201011244,0.0,0.0
202201011250,140.0,1.5
202201011253,,1.5
202201011255,0.0,0.0
202201011300,180.0,1.5
202201011305,200.0,2.6
202201011310,190.0,2.6
202201011315,190.0,1.5
202201011320,180.0,1.5
202201011325,0.0,0.0
202201011330,0.0,0.0
202201011335,0.0,0.0
202201011340,0.0,0.0
202201011345,0.0,0.0
202201011350,0.0,0.0
202201011353,0.0,0.0
202201011355,0.0,0.0
202201011405,0.0,0.0
202201011409,0.0,0.0
202201011410,0.0,0.0
202201011415,0.0,0.0
202201011420,0.0,0.0
202201011425,0.0,0.0
202201011430,0.0,0.0
202201011432,0.0,0.0
202201011440,180.0,1.5
202201011441,180.0,1.5
202201011445,0.0,0.0
202201011450,0.0,0.0
202201011453,0.0,0.0
202201011455,0.0,0.0
202201011500,200.0,1.5
202201011505,210.0,1.5
202201011510,210.0,2.1
202201011515,210.0,1.5
202201011516,210.0,2.1
202201011520,210.0,1.5
202201011525,220.0,1.5
202201011530,230.0,2.1
202201011535,240.0,2.6
202201011540,240.0,2.1
202201011544,240.0,1.5
202201011545,240.0,1.5
202201011550,240.0,1.5
202201011553,0.0,0.0
202201011555,0.0,0.0
202201011600,0.0,0.0
202201011605,0.0,0.0
202201011610,0.0,0.0
202201011615,0.0,0.0
202201011620,0.0,0.0
202201011625,0.0,0.0
202201011630,0.0,0.0
202201011635,0.0,0.0
202201011640,0.0,0.0
202201011642,0.0,0.0
202201011645,0.0,0.0
202201011650,0.0,0.0
202201011653,0.0,0.0
202201011655,0.0,0.0
202201011658,0.0,0.0
202201011700,300.0,1.5
202201011705,310.0,2.1
202201011712,280.0,2.1
202201011715,290.0,2.1
202201011720,320.0,3.1
202201011730,310.0,3.6
202201011735,320.0,4.1
202201011740,310.0,3.6
202201011741,310.0,3.6
202201011745,300.0,3.1
202201011750,300.0,3.6
202201011753,300.0,3.6
202201011755,300.0,4.1
202201011800,300.0,3.6
202201011805,320.0,3.6
202201011810,320.0,3.1
202201011815,330.0,3.6
202201011820,340.0,3.6
202201011825,350.0,4.1
202201011830,330.0,3.6
202201011835,340.0,4.1
202201011840,350.0,3.1
202201011845,330.0,3.1
202201011850,340.0,3.1
202201011853,350.0,3.1
202201011855,350.0,3.1
202201011900,340.0,2.6
202201011925,330.0,2.6
202201011930,330.0,1.5
202201011935,310.0,2.1
202201011940,310.0,1.5
202201011945,0.0,0.0
202201011950,0.0,0.0
202201011953,0.0,0.0
202201011955,0.0,0.0
202201012000,0.0,0.0
202201012005,0.0,0.0
202201012010,0.0,0.0
202201012015,0.0,0.0
202201012020,0.0,0.0
202201012025,0.0,0.0
202201012030,0.0,0.0
202201012035,0.0,0.0
202201012040,0.0,0.0
202201012045,0.0,0.0
202201012050,0.0,0.0
202201012053,0.0,0.0
202201012055,0.0,0.0
202201012100,0.0,0.0
202201012110,0.0,0.0
202201012115,0.0,0.0
