timestamp string,wind direction,wind speed
202201010015,190.0,2.6
202201010035,180.0,2.6
202201010055,180.0,1.5
202201010115,0.0,0.0
202201010135,190.0,2.6
202201010155,190.0,3.1
202201010215,200.0,3.6
202201010235,200.0,3.1
202201010255,190.0,2.6
202201010315,200.0,3.6
202201010335,200.0,4.6
202201010355,200.0,3.6
202201010415,210.0,3.6
202201010435,220.0,4.6
202201010455,220.0,3.1
202201010515,210.0,3.6
202201010535,220.0,4.6
202201010555,220.0,5.1
202201010615,210.0,5.7
202201010655,220.0,4.6
202201010715,220.0,4.6
202201010735,220.0,4.6
202201010755,210.0,4.6
202201010815,210.0,4.1
202201010835,210.0,4.1
202201010935,210.0,5.7
202201010955,210.0,3.1
202201011015,210.0,5.1
202201011035,210.0,4.1
202201011055,210.0,6.7
202201011115,210.0,4.1
202201011135,210.0,5.1
202201011155,210.0,3.6
202201011235,210.0,4.6
202201011255,200.0,3.6
202201011315,210.0,4.1
202201011335,210.0,5.1
202201011355,220.0,4.6
202201011415,210.0,5.1
202201011435,210.0,3.6
202201011455,220.0,3.6
202201011515,220.0,3.6
202201011535,220.0,3.1
202201011555,220.0,5.1
202201011615,210.0,5.7
202201011635,220.0,6.2
202201011655,210.0,7.7
202201011715,240.0,6.7
202201011735,220.0,5.7
202201011755,240.0,7.7
202201011815,230.0,6.2
202201011835,210.0,6.7
202201011855,220.0,4.6
202201011915,210.0,7.2
202201011935,180.0,7.7
202201011955,210.0,8.2
202201012015,210.0,6.2
202201012035,200.0,6.2
202201012055,210.0,5.7
202201012115,220.0,5.7
202201012135,200.0,6.2
202201012215,200.0,4.6
202201012235,210.0,6.2
202201012255,200.0,5.7
202201012315,190.0,3.6
202201012335,200.0,6.2
202201012355,190.0,5.1
202201020015,200.0,6.7
202201020035,190.0,3.6
202201020055,200.0,4.6
202201020115,210.0,6.2
202201020135,210.0,7.7
202201020155,210.0,7.7
202201020215,220.0,6.2
202201020235,220.0,6.2
202201020255,210.0,7.2
202201020315,210.0,7.7
202201020335,220.0,6.7
202201020355,210.0,4.6
202201020415,210.0,6.2
202201020455,220.0,7.2
202201020515,210.0,6.2
202201020535,210.0,4.6
202201020555,210.0,5.7
202201020615,210.0,6.2
202201020635,220.0,5.7
202201020655,220.0,7.7
202201020715,230.0,7.2
202201020735,210.0,5.1
202201020755,210.0,5.7
202201020815,210.0,7.2
202201020835,220.0,7.7
202201020855,260.0,4.6
202201020915,290.0,8.7
202201020955,0.0,0.0
202201021015,0.0,0.0
202201021035,250.0,2.1
202201021055,100.0,2.1
202201021115,0.0,0.0
202201021135,0.0,0.0
202201021155,250.0,2.1
202201021215,0.0,0.0
202201021235,200.0,1.5
202201021255,260.0,1.5
202201021315,0.0,0.0
202201021335,150.0,2.6
202201021355,220.0,1.5
202201021415,230.0,1.5
202201021435,260.0,2.1
202201021455,150.0,3.1
202201021515,0.0,0.0
202201021535,140.0,2.6
202201021555,160.0,2.1
202201021615,150.0,2.6
202201021635,0.0,0.0
202201021715,180.0,2.1
202201021735,0.0,0.0
202201021755,240.0,1.5
202201021815,240.0,1.5
202201021835,290.0,2.1
202201021855,0.0,0.0
202201021915,0.0,0.0
202201021935,0.0,0.0
202201021955,0.0,0.0
202201022015,0.0,0.0
202201022035,0.0,0.0
202201022055,0.0,0.0
202201022115,100.0,1.5
202201022135,0.0,0.0
202201022155,0.0,0.0
202201022215,0.0,0.0
