timestamp string,wind direction,wind speed
202201010001,180.0,3.1
202201010006,170.0,3.6
202201010016,180.0,3.6
202201010026,190.0,3.1
202201010031,190.0,2.6
202201010036,190.0,3.1
202201010041,190.0,3.6
202201010046,190.0,3.1
202201010051,180.0,3.6
202201010056,190.0,3.6
202201010101,240.0,1.5
202201010106,200.0,2.1
202201010111,180.0,3.6
202201010116,180.0,3.1
202201010121,190.0,3.6
202201010126,190.0,3.1
202201010131,190.0,3.6
202201010141,210.0,2.6
202201010146,210.0,2.1
202201010151,210.0,3.1
202201010156,220.0,3.1
202201010201,220.0,3.6
202201010206,250.0,4.1
202201010221,230.0,5.7
202201010226,240.0,5.1
202201010231,250.0,4.1
202201010236,240.0,5.7
202201010241,240.0,5.7
202201010246,240.0,3.6
202201010251,240.0,4.1
202201010256,240.0,4.6
202201010301,230.0,5.1
202201010306,230.0,4.1
202201010311,230.0,3.6
202201010316,240.0,4.1
202201010321,230.0,4.1
202201010326,240.0,3.1
202201010331,240.0,4.1
202201010355,230.0,4.6
202201010400,240.0,3.6
202201010405,240.0,3.6
202201010410,230.0,5.1
202201010415,240.0,5.7
202201010420,240.0,5.1
202201010425,240.0,5.7
202201010430,250.0,5.1
202201010450,250.0,7.2
202201010500,240.0,4.6
202201010505,240.0,5.7
202201010510,240.0,4.6
202201010515,240.0,5.1
202201010520,230.0,4.1
202201010525,230.0,4.1
202201010530,220.0,4.6
202201010535,230.0,3.6
202201010540,210.0,4.6
202201010545,240.0,2.6
202201010551,220.0,3.1
202201010556,230.0,2.6
202201010601,260.0,3.6
202201010606,240.0,3.6
202201010611,250.0,2.6
202201010616,230.0,3.6
202201010621,250.0,2.1
202201010626,240.0,2.6
202201010631,240.0,2.6
202201010636,240.0,3.6
202201010641,230.0,2.6
202201010646,230.0,2.1
202201010651,240.0,2.6
202201010656,230.0,2.6
202201010701,230.0,2.1
202201010706,240.0,3.6
202201010716,220.0,2.6
202201010721,210.0,2.6
202201010726,210.0,2.1
202201010731,210.0,2.6
202201010736,190.0,2.6
202201010741,200.0,2.6
202201010746,200.0,2.6
202201010751,180.0,3.1
202201010756,180.0,3.6
202201010801,190.0,2.6
202201010806,210.0,1.5
