timestamp string,wind direction,wind speed
202201010015,210.0,4.6
202201010035,210.0,4.1
202201010055,220.0,5.1
202201010115,220.0,4.6
202201010135,210.0,4.1
202201010155,220.0,4.1
202201010210,220.0,5.1
202201010230,220.0,5.7
202201010255,230.0,4.1
202201010310,220.0,4.1
202201010335,220.0,3.6
202201010350,220.0,4.1
202201010415,220.0,3.1
202201010435,240.0,3.6
202201010455,220.0,3.1
202201010515,220.0,2.6
202201010615,210.0,4.1
202201010635,210.0,4.6
202201010655,200.0,4.1
202201010715,210.0,7.2
202201010735,220.0,3.6
202201010755,220.0,5.7
202201010815,220.0,5.7
202201010835,220.0,6.7
202201010855,220.0,5.7
202201010915,220.0,5.1
202201010935,230.0,6.2
202201010955,210.0,5.7
202201011015,220.0,7.2
202201011035,210.0,4.1
202201011055,210.0,6.2
202201011115,210.0,7.2
202201011135,220.0,5.7
202201011215,220.0,5.1
202201011235,220.0,4.1
202201011255,210.0,5.7
202201011315,200.0,4.1
202201011335,210.0,5.7
202201011355,210.0,4.1
202201011415,210.0,5.7
202201011435,200.0,5.7
202201011455,200.0,6.2
202201011515,200.0,6.7
202201011535,200.0,5.7
202201011555,220.0,6.2
202201011615,200.0,9.3
202201011635,210.0,8.7
202201011655,220.0,6.2
202201011715,210.0,5.7
202201011735,220.0,8.7
202201011755,200.0,9.8
202201011815,210.0,7.2
202201011835,200.0,7.7
202201011850,210.0,5.7
202201011915,210.0,8.7
202201011935,210.0,7.7
202201011955,210.0,8.2
202201012015,220.0,6.2
202201012035,220.0,7.2
202201012055,220.0,7.2
202201012115,220.0,5.1
202201012135,210.0,6.7
202201012155,200.0,6.7
202201012215,220.0,9.8
202201012235,220.0,6.2
202201012250,210.0,5.7
202201012315,220.0,5.1
202201012335,200.0,4.1
202201012355,190.0,7.2
202201020010,,3.1
202201020035,,2.6
202201020055,,2.6
202201020115,340.0,3.6
202201020130,340.0,4.6
202201020215,10.0,3.1
202201020230,340.0,3.6
202201020255,350.0,4.6
202201020315,340.0,5.1
202201020335,,2.6
202201020350,350.0,4.1
202201020415,,3.1
202201020435,,2.1
202201020450,,2.6
202201020510,0.0,0.0
202201020535,220.0,2.1
202201020550,190.0,2.1
202201020610,0.0,0.0
202201020635,200.0,2.1
202201020655,0.0,0.0
202201020715,0.0,0.0
202201020735,0.0,0.0
202201020755,0.0,0.0
202201020815,0.0,0.0
202201020835,0.0,0.0
202201020855,0.0,0.0
202201020915,270.0,1.5
202201020935,,2.1
202201020955,240.0,2.1
202201021015,,2.1
