timestamp string,wind direction,wind speed
202201010015,0.0,0.0
202201010035,0.0,0.0
202201010055,0.0,0.0
202201010115,0.0,0.0
202201010135,170.0,2.1
202201010215,190.0,2.6
202201010235,180.0,2.1
202201010255,190.0,3.1
202201010335,190.0,3.1
202201010355,200.0,2.1
202201010415,190.0,2.1
202201010435,200.0,3.1
202201010455,200.0,3.6
202201010515,190.0,3.6
202201010535,200.0,2.6
202201010555,190.0,2.1
202201010615,200.0,3.6
202201010635,200.0,3.1
202201010655,210.0,3.1
202201010715,210.0,4.1
202201010735,210.0,2.6
202201010755,210.0,2.1
202201010815,190.0,2.6
202201010855,190.0,3.1
202201010915,200.0,2.6
202201010935,190.0,2.1
202201010955,180.0,2.6
202201011015,180.0,3.1
202201011035,180.0,3.1
202201011055,190.0,1.5
202201011115,190.0,2.1
202201011135,160.0,3.1
202201011215,180.0,2.6
202201011235,190.0,2.6
202201011255,190.0,2.6
202201011315,180.0,3.1
202201011335,170.0,2.6
202201011355,180.0,2.6
202201011415,160.0,2.6
202201011435,170.0,2.6
202201011455,170.0,2.6
202201011515,170.0,1.5
202201011535,150.0,2.6
202201011555,170.0,2.1
202201011615,170.0,2.1
202201011635,220.0,2.6
202201011655,190.0,1.5
202201011715,0.0,0.0
202201011735,160.0,2.1
202201011755,0.0,0.0
202201011815,0.0,0.0
202201011835,0.0,0.0
202201011855,330.0,1.5
202201011915,350.0,1.5
202201011935,0.0,0.0
202201011955,350.0,1.5
202201012015,350.0,2.1
202201012035,40.0,2.1
202201012055,0.0,0.0
202201012115,0.0,0.0
202201012135,350.0,1.5
202201012155,320.0,2.1
202201012215,0.0,0.0
202201012235,0.0,0.0
202201012255,230.0,1.5
202201012315,150.0,1.5
202201012335,0.0,0.0
202201012355,0.0,0.0
202201020015,0.0,0.0
202201020035,170.0,2.6
202201020055,170.0,3.6
202201020115,190.0,1.5
202201020135,200.0,1.5
202201020155,180.0,2.6
202201020215,190.0,3.1
202201020235,0.0,0.0
202201020255,180.0,2.1
202201020315,190.0,2.6
202201020335,170.0,3.6
202201020355,180.0,2.1
202201020415,160.0,4.6
202201020435,180.0,2.6
202201020515,0.0,0.0
202201020535,290.0,2.1
202201020555,230.0,2.6
202201020615,230.0,2.1
202201020635,230.0,2.6
202201020655,0.0,0.0
202201020735,270.0,1.5
202201020755,0.0,0.0
202201020815,340.0,2.1
202201020835,,3.1
202201020855,10.0,2.1
202201020915,350.0,2.6
202201020935,350.0,2.6
202201020955,340.0,2.1
202201021015,330.0,1.5
202201021035,340.0,2.1
202201021055,340.0,2.6
202201021115,350.0,1.5
202201021135,0.0,0.0
202201021155,0.0,0.0
202201021215,310.0,1.5
202201021235,300.0,4.1
202201021255,310.0,2.6
202201021315,320.0,1.5
202201021335,330.0,2.1
202201021355,340.0,2.1
202201021415,340.0,1.5
202201021435,330.0,3.1
