timestamp string,wind direction,wind speed
202201010000,0.0,0.0
202201010005,0.0,0.0
202201010007,0.0,0.0
202201010010,0.0,0.0
202201010015,0.0,0.0
202201010020,0.0,0.0
202201010025,140.0,1.5
202201010027,140.0,1.5
202201010030,0.0,0.0
202201010035,160.0,1.5
202201010040,160.0,1.5
202201010045,150.0,1.5
202201010050,140.0,1.5
202201010100,160.0,1.5
202201010105,160.0,1.5
202201010110,160.0,2.1
202201010115,150.0,1.5
202201010120,150.0,1.5
202201010125,160.0,1.5
202201010130,160.0,1.5
202201010135,160.0,1.5
202201010140,150.0,2.1
202201010145,150.0,2.1
202201010150,160.0,2.1
202201010153,160.0,1.5
202201010155,160.0,1.5
202201010200,160.0,2.1
202201010205,170.0,2.1
202201010215,170.0,2.1
202201010220,170.0,2.1
202201010225,160.0,2.1
202201010230,170.0,1.5
202201010235,0.0,0.0
202201010240,0.0,0.0
202201010245,0.0,0.0
202201010250,0.0,0.0
202201010253,0.0,0.0
202201010255,0.0,0.0
202201010300,0.0,0.0
202201010302,0.0,0.0
202201010305,0.0,0.0
202201010310,0.0,0.0
202201010312,0.0,0.0
202201010315,0.0,0.0
202201010320,160.0,1.5
202201010328,160.0,1.5
202201010330,170.0,1.5
202201010335,170.0,2.1
202201010340,160.0,1.5
202201010345,160.0,1.5
202201010350,170.0,2.1
202201010353,180.0,2.1
202201010355,180.0,2.1
202201010400,170.0,2.6
202201010405,170.0,2.6
202201010410,180.0,2.6
202201010415,180.0,3.1
202201010420,180.0,2.6
202201010425,180.0,2.6
202201010430,180.0,2.6
202201010435,180.0,2.6
202201010440,180.0,2.6
202201010445,180.0,3.1
202201010450,180.0,2.6
202201010453,180.0,2.6
202201010455,180.0,2.6
202201010500,180.0,3.1
202201010503,190.0,3.1
202201010510,190.0,3.1
202201010515,190.0,3.1
202201010520,190.0,3.1
202201010525,190.0,3.1
202201010530,190.0,3.1
202201010535,180.0,3.6
202201010540,180.0,3.6
202201010545,190.0,3.6
202201010550,190.0,4.1
202201010553,190.0,4.6
202201010555,190.0,4.1
202201010600,190.0,3.6
202201010605,190.0,4.6
202201010610,200.0,3.6
202201010615,200.0,4.1
202201010620,200.0,4.6
202201010625,200.0,4.6
202201010630,200.0,4.1
202201010635,190.0,4.1
202201010640,200.0,4.6
202201010645,190.0,4.1
202201010653,190.0,4.1
202201010655,190.0,4.6
202201010700,190.0,3.6
202201010705,200.0,4.1
202201010708,190.0,4.1
202201010710,200.0,3.6
202201010715,200.0,3.1
202201010720,200.0,3.1
202201010725,200.0,3.6
202201010730,190.0,3.1
202201010731,200.0,2.6
202201010735,200.0,2.6
202201010740,180.0,2.1
202201010745,190.0,2.1
202201010750,190.0,2.6
202201010753,190.0,2.6
202201010755,190.0,2.6
202201010800,200.0,2.6
202201010805,200.0,3.1
202201010810,220.0,3.1
202201010815,210.0,3.1
202201010820,210.0,3.6
202201010825,210.0,4.6
202201010830,220.0,4.1
202201010835,210.0,4.1
202201010840,220.0,4.1
202201010845,220.0,4.1
202201010850,230.0,3.6
202201010853,220.0,4.6
202201010855,230.0,4.1
202201010900,230.0,4.1
202201010905,230.0,4.1
202201010910,230.0,4.1
202201010915,220.0,4.1
202201010920,220.0,4.1
202201010925,220.0,4.6
202201010930,220.0,4.1
202201010935,220.0,4.1
202201010940,220.0,4.1
202201010950,220.0,4.1
202201010953,220.0,3.6
202201010955,220.0,3.6
202201011000,220.0,4.6
202201011005,220.0,4.1
202201011010,230.0,3.6
202201011015,220.0,3.1
202201011020,220.0,4.1
202201011025,230.0,3.1
202201011030,220.0,2.6
202201011035,220.0,3.1
202201011040,220.0,2.6
202201011045,220.0,4.1
202201011050,220.0,5.1
202201011053,220.0,3.6
202201011055,220.0,5.7
202201011100,210.0,4.6
202201011105,220.0,4.1
202201011110,220.0,4.6
202201011115,220.0,5.1
202201011120,220.0,4.1
202201011125,220.0,5.1
202201011130,220.0,5.1
202201011135,220.0,5.1
202201011140,220.0,5.1
202201011145,210.0,4.6
202201011150,210.0,5.1
202201011153,220.0,4.1
202201011155,220.0,3.6
202201011205,210.0,4.6
202201011210,210.0,4.1
202201011215,210.0,6.2
202201011220,210.0,4.6
202201011225,220.0,5.1
202201011230,210.0,4.6
202201011235,210.0,5.1
202201011240,210.0,4.6
202201011245,200.0,4.1
202201011250,220.0,5.1
202201011253,210.0,4.1
202201011255,210.0,4.1
202201011300,220.0,5.1
202201011305,200.0,3.6
202201011310,200.0,4.1
202201011315,210.0,3.6
202201011320,200.0,4.6
202201011325,210.0,5.1
202201011330,210.0,5.7
202201011335,200.0,5.1
202201011340,210.0,6.2
202201011345,210.0,5.1
202201011350,210.0,5.1
202201011353,210.0,5.1
202201011400,210.0,4.6
202201011405,210.0,4.6
202201011410,220.0,5.7
202201011415,220.0,5.7
202201011420,220.0,6.2
202201011425,220.0,5.7
202201011430,210.0,5.1
202201011435,220.0,6.2
202201011440,220.0,5.7
202201011445,210.0,5.7
202201011450,210.0,6.2
202201011453,200.0,6.2
202201011455,210.0,5.1
202201011500,210.0,5.7
202201011505,220.0,6.7
202201011510,200.0,6.2
202201011515,200.0,7.7
202201011520,220.0,7.7
202201011525,200.0,8.2
202201011530,200.0,6.7
202201011540,220.0,8.7
202201011545,200.0,8.2
202201011550,200.0,5.1
202201011553,210.0,6.2
202201011555,210.0,8.2
202201011600,210.0,8.2
202201011605,210.0,7.2
202201011610,210.0,6.2
202201011615,220.0,5.1
202201011620,220.0,7.2
202201011625,220.0,5.1
202201011630,210.0,5.1
202201011635,210.0,7.2
202201011645,210.0,7.2
202201011650,210.0,6.2
202201011653,210.0,6.2
202201011655,210.0,6.7
202201011700,210.0,4.1
202201011705,210.0,7.7
202201011710,200.0,6.2
202201011720,220.0,8.2
202201011730,210.0,6.2
202201011735,210.0,7.2
202201011740,210.0,7.7
202201011745,220.0,9.3
202201011750,210.0,6.7
202201011753,230.0,6.7
202201011755,220.0,6.2
202201011800,210.0,6.7
202201011805,210.0,5.7
202201011810,210.0,5.7
202201011815,210.0,6.2
202201011820,210.0,8.7
202201011825,210.0,9.3
202201011830,220.0,7.2
202201011835,210.0,8.2
202201011840,220.0,7.2
202201011845,210.0,6.2
202201011855,210.0,9.3
202201011900,200.0,8.7
202201011903,210.0,8.7
202201011905,210.0,9.3
202201011910,200.0,7.2
202201011915,210.0,6.2
202201011920,220.0,5.7
202201011925,220.0,5.7
202201011930,210.0,6.7
202201011935,210.0,6.7
202201011940,220.0,5.7
202201011945,200.0,7.2
202201011950,190.0,8.7
202201011953,210.0,8.2
202201011955,200.0,9.3
202201012000,210.0,6.2
202201012005,200.0,7.7
202201012010,210.0,7.7
202201012015,220.0,7.2
202201012020,200.0,8.2
202201012025,210.0,6.7
202201012030,220.0,7.2
202201012035,200.0,5.7
202201012040,210.0,6.7
202201012045,210.0,6.7
202201012050,210.0,7.7
202201012053,220.0,6.2
202201012055,200.0,7.7
202201012100,220.0,8.2
202201012105,200.0,4.6
202201012110,210.0,5.7
202201012115,210.0,8.2
202201012120,200.0,5.1
202201012125,200.0,4.6
202201012130,190.0,5.1
202201012135,180.0,5.1
202201012140,190.0,6.2
202201012145,180.0,5.7
202201012150,190.0,5.1
202201012153,200.0,5.1
202201012200,190.0,3.6
202201012205,190.0,5.7
202201012210,180.0,5.1
202201012215,180.0,4.6
202201012220,190.0,4.6
202201012225,180.0,4.6
202201012230,200.0,5.1
202201012235,190.0,5.7
202201012240,190.0,6.2
202201012245,180.0,5.7
202201012250,190.0,4.6
202201012253,180.0,5.1
202201012255,190.0,5.1
202201012300,190.0,5.1
202201012305,190.0,5.1
202201012310,180.0,4.6
202201012315,190.0,5.1
202201012320,190.0,5.1
202201012325,180.0,5.7
202201012330,180.0,4.1
202201012335,190.0,4.6
202201012340,180.0,5.1
202201012345,180.0,5.7
202201012350,180.0,5.7
202201012353,200.0,7.2
202201012355,190.0,5.7
202201020000,200.0,6.2
202201020005,190.0,5.7
202201020015,190.0,6.7
202201020020,190.0,5.7
202201020025,190.0,5.1
202201020030,190.0,6.2
202201020035,190.0,5.7
202201020040,190.0,8.2
202201020045,200.0,6.2
202201020050,190.0,5.7
202201020053,190.0,7.2
202201020055,200.0,6.7
202201020100,190.0,7.7
202201020105,190.0,8.2
202201020110,190.0,6.7
202201020115,200.0,7.2
202201020120,190.0,6.2
202201020125,190.0,6.7
202201020130,200.0,6.7
202201020140,200.0,8.2
202201020145,200.0,8.2
202201020150,190.0,7.2
202201020153,200.0,9.8
202201020155,200.0,6.7
202201020200,200.0,6.2
202201020205,210.0,9.3
202201020210,200.0,9.3
202201020215,190.0,8.7
202201020220,200.0,9.3
202201020225,200.0,10.3
202201020230,200.0,7.2
202201020235,200.0,8.2
202201020240,200.0,9.8
202201020245,200.0,7.2
202201020250,210.0,8.7
202201020253,190.0,7.2
202201020255,210.0,8.7
202201020300,210.0,8.7
202201020305,200.0,7.2
202201020310,210.0,7.7
202201020315,210.0,8.7
202201020320,210.0,8.7
202201020325,200.0,7.2
202201020330,190.0,7.2
202201020335,200.0,7.2
202201020340,200.0,8.2
202201020345,200.0,7.2
202201020350,200.0,7.7
202201020353,200.0,9.3
202201020355,200.0,8.2
202201020400,200.0,7.2
202201020405,200.0,6.7
202201020410,200.0,7.7
202201020411,210.0,8.2
202201020415,200.0,7.7
202201020420,200.0,7.7
202201020425,200.0,7.7
202201020430,200.0,8.2
202201020433,200.0,9.3
202201020435,200.0,9.8
202201020440,210.0,9.8
202201020445,200.0,7.7
202201020450,210.0,8.7
202201020451,210.0,8.2
202201020453,200.0,9.3
202201020455,210.0,7.7
202201020500,210.0,9.8
202201020505,210.0,8.2
202201020510,200.0,7.2
202201020515,200.0,9.3
202201020520,200.0,8.7
202201020525,200.0,8.2
202201020530,200.0,8.2
202201020535,210.0,7.2
202201020540,210.0,7.7
202201020545,200.0,7.7
202201020550,200.0,10.3
202201020553,210.0,10.3
202201020555,200.0,8.7
202201020600,200.0,6.7
202201020605,200.0,7.7
202201020612,210.0,7.2
202201020620,210.0,6.7
202201020625,210.0,8.2
202201020630,210.0,6.2
202201020635,210.0,7.2
202201020640,210.0,7.7
202201020645,220.0,8.2
202201020650,210.0,7.7
202201020653,220.0,8.2
202201020655,200.0,10.3
202201020700,220.0,7.2
202201020705,220.0,7.7
202201020710,220.0,6.2
202201020715,210.0,7.7
202201020718,210.0,8.7
202201020720,220.0,8.2
202201020725,210.0,7.7
202201020730,210.0,6.2
202201020740,210.0,8.2
202201020743,210.0,7.7
202201020745,220.0,7.2
202201020750,210.0,5.7
202201020755,210.0,9.3
202201020800,210.0,7.7
202201020805,200.0,9.3
202201020810,200.0,10.3
202201020815,210.0,8.7
202201020820,210.0,8.2
202201020825,210.0,7.7
202201020835,210.0,8.7
202201020840,210.0,8.7
202201020845,210.0,7.7
202201020850,210.0,9.3
202201020853,210.0,8.7
202201020855,210.0,7.2
202201020900,220.0,7.7
202201020905,210.0,8.2
202201020915,220.0,10.8
202201020920,210.0,8.2
202201020925,210.0,8.2
202201020930,210.0,8.2
202201020935,220.0,7.2
202201020940,220.0,6.7
202201020945,220.0,7.2
202201020950,220.0,7.7
202201020953,230.0,7.2
202201020955,230.0,5.7
202201021000,270.0,6.7
202201021004,290.0,10.3
202201021005,280.0,8.7
202201021010,290.0,5.7
202201021012,280.0,6.2
202201021015,290.0,6.7
202201021025,310.0,4.6
202201021026,310.0,4.6
202201021030,300.0,3.6
202201021035,260.0,5.7
202201021040,280.0,3.6
202201021045,270.0,2.6
202201021050,230.0,3.1
202201021051,230.0,3.1
202201021053,220.0,2.6
202201021055,240.0,3.1
202201021100,240.0,3.6
202201021105,250.0,3.6
202201021110,250.0,2.6
202201021115,240.0,1.5
202201021120,0.0,0.0
202201021125,0.0,0.0
202201021130,240.0,1.5
202201021135,200.0,2.6
202201021140,210.0,3.6
202201021145,220.0,2.6
202201021150,190.0,2.1
202201021153,190.0,2.6
202201021155,190.0,2.6
202201021200,180.0,2.6
202201021205,200.0,2.6
202201021210,230.0,1.5
202201021215,220.0,2.6
202201021219,200.0,2.6
202201021220,210.0,3.1
202201021225,180.0,4.6
202201021231,190.0,2.6
202201021240,190.0,2.6
202201021250,0.0,0.0
202201021253,0.0,0.0
202201021255,0.0,0.0
202201021300,0.0,0.0
202201021305,0.0,0.0
202201021310,190.0,2.1
202201021315,0.0,0.0
202201021320,190.0,2.6
202201021325,190.0,3.1
202201021329,200.0,2.6
202201021330,200.0,3.1
202201021335,210.0,3.1
202201021340,230.0,3.1
202201021345,230.0,2.6
202201021350,230.0,3.1
202201021353,240.0,3.1
202201021355,240.0,2.6
202201021400,240.0,2.6
202201021405,200.0,2.6
202201021410,200.0,2.6
202201021415,190.0,2.6
202201021420,190.0,2.6
202201021425,170.0,2.1
202201021430,160.0,2.1
202201021435,200.0,2.1
202201021440,190.0,2.6
202201021445,190.0,3.6
202201021450,190.0,2.6
202201021453,190.0,2.6
202201021455,190.0,2.6
202201021500,180.0,2.1
202201021505,190.0,2.6
202201021510,190.0,2.6
202201021515,160.0,1.5
202201021520,180.0,1.5
202201021525,190.0,2.6
202201021530,210.0,3.1
202201021535,220.0,3.6
202201021540,210.0,3.1
202201021545,210.0,2.1
202201021550,170.0,2.1
202201021553,190.0,2.6
202201021555,180.0,2.6
202201021600,210.0,2.1
202201021605,230.0,2.6
202201021610,230.0,3.1
202201021615,230.0,3.6
202201021616,230.0,3.1
202201021620,210.0,4.6
202201021625,210.0,3.6
202201021630,200.0,3.1
202201021635,210.0,2.1
202201021640,210.0,3.6
202201021645,190.0,1.5
202201021649,,1.5
202201021650,0.0,0.0
202201021653,210.0,3.6
202201021655,200.0,3.6
202201021700,210.0,3.6
202201021705,220.0,3.1
202201021706,210.0,3.1
202201021710,140.0,1.5
202201021715,160.0,2.1
202201021720,170.0,2.1
202201021725,170.0,3.6
202201021730,180.0,4.1
202201021732,180.0,3.6
202201021735,190.0,3.1
202201021740,200.0,2.6
202201021745,180.0,2.6
202201021748,170.0,2.6
202201021750,170.0,2.6
202201021753,180.0,2.6
202201021755,180.0,1.5
202201021803,190.0,3.1
202201021805,150.0,2.1
202201021810,170.0,3.1
202201021815,160.0,3.6
202201021820,160.0,4.1
202201021825,170.0,4.1
202201021830,180.0,3.6
202201021835,180.0,3.6
202201021840,170.0,3.6
202201021843,180.0,3.6
202201021845,150.0,3.6
202201021850,140.0,2.1
202201021853,140.0,2.1
202201021855,110.0,2.1
202201021900,0.0,0.0
202201021902,210.0,3.1
202201021905,160.0,2.1
202201021910,50.0,1.5
202201021915,170.0,3.1
202201021920,0.0,0.0
202201021925,190.0,2.1
202201021930,120.0,2.6
202201021935,190.0,2.6
202201021940,220.0,2.1
202201021945,230.0,3.6
202201021950,230.0,3.6
202201021953,210.0,3.6
202201021955,210.0,3.1
202201022000,220.0,2.1
202201022005,280.0,1.5
202201022010,290.0,2.1
202201022015,280.0,2.6
202201022020,0.0,0.0
202201022025,230.0,2.1
202201022030,240.0,1.5
202201022035,250.0,2.1
